Analyte,1A-20,1A-30,2A-10,2A-20,2A-30,3A-10,3A-20,3A-30
ACE,786.625,0.241,889.458,729.646,0.26,427.383,316.413,0.0
ACY,450.397,0.0,400.371,463.196,0.538,147.424,178.823,0.0
ANT,76.014,0.0,82.629,306.298,0.0,16.291,58.769,0.539
BaA,11.13,0.0,11.62,24.473,0.0,1.818,0.516,0.0
BaP,8.416,0.0,0.0,0.0,0.0,3.403,0.766,0.0
BbF,7.562,0.0,3.357,21.663,0.0,2.883,0.26,0.0
BghiP,10.733,0.622,5.939,36.946,0.0,5.301,0.535,0.0
BkF,2.414,0.0,1.253,13.471,0.0,1.717,0.0,0.0
CHR,44.703,3.169,35.336,119.741,0.209,3.942,2.26,0.448
DBahA,1.932,0.0,2.061,6.889,0.0,2.064,0.0,0.0
FLT,34.803,0.403,28.175,80.43,0.0,6.524,3.887,0.644
FLU,1224.492,0.0,1648.416,1774.084,0.46,733.42,521.191,1.209
IcdP,2.36,0.0,0.779,6.096,0.0,4.603,0.0,0.0
NAP,29803.88434,0.0,45735.26662,59369.14664,0.0,13350.957,25800.18858,22.424
PHN,2353.384,0.0,3196.735,4319.637,0.0,681.852,433.786,0.565
PYR,166.021,0.0,135.021,437.881,0.0,25.821,21.125,0.021
"1,7-MPHN",106.9776433,0.0,160.5347287,1036.101279,0.186,2.377432255,7.336642842,0.05140198
"1,8-MPHN",20.21180057,0.018641292,34.88758565,152.5101928,0.098,0.643004757,1.72588636,0.031774773
1-MNAP,13616.34877,0.927891891,15654.98536,16451.79248,0.639,3590.664894,14261.06115,1.700787602
1-MPHN,165.4067459,0.245,287.9234023,567.8541051,0.389,6.156217558,19.73539923,0.044309562
"2,6-MPHN",142.5192552,0.066339762,209.6821091,694.1371824,0.029,2.184196351,6.596465852,0.003042406
2-MNAP,14357.90891,0.781446848,16862.1217,17923.10888,0.454,4276.939393,17036.64393,1.376803539
2-MPHN,582.4196887,0.034,1059.854179,2220.559916,0.0,18.19092519,58.99862324,0.158257086
"3,6-MPHN",200.1121219,0.168,306.0008232,845.5721083,0.015,3.644664985,11.34107042,0.075
3-MPHN,516.3926249,0.065770205,985.8758094,1949.664095,0.657,18.72406672,58.33562468,0.199993078
9/4-MPHN,388.8007246,0.532,635.3650311,1309.88123,403.0,12.73067474,44.00649653,0.083632201
C1-CHR,8.717597128,0.444721833,11.45993494,31.32292206,0.006,0.0,0.0,0.0
C2-CHR,49.48528728,2.436316799,103.7778303,217.173623,0.034,0.0,0.0,0.0
C2-NAP,24415.4827,7.68780673,32460.93812,48032.73058,0.0,3606.109878,17612.8931,1.143165288
C2-PHN,402.7529123,0.581,585.1213705,1811.605722,0.07353479,7.392457021,24.89188034,0.10413076
C3-CHR,25.0045966,1.264105518,27.53827712,89.80952114,0.0,0.0,0.0,0.0
C3-NAP,7265.511949,8.906299297,11363.83585,26913.09007,0.0,695.8135485,4736.552168,0.426871232
C3-PHN,506.2357968,3.026238846,669.0730925,3090.582305,0.96,4.245133703,26.16346624,0.0
C4-CHR,11.01618312,0.0,7.272848015,30.2440503,0.76,0.0,0.0,0.030310094
C4-ButylNAP,1565.816643,15.23412918,2177.391817,7272.678706,14.89608378,61.76972101,313.9523914,6.123347641
C4-PHN,111.1406556,3.665503283,106.0927291,549.1177157,4.113817825,0.067148637,1.968366038,0.802955886
RET,0.238,4.570696687,0.0,23.24531866,0.0,0.016160522,9.390086729,0.0
C1-BaP,49.11287597,2.867987026,55.74547422,248.6527339,0.972124629,0.0,0.0,0.0
C1-DBTP,1558.357296,1.528814826,4241.794343,7790.625521,7.383752804,99.48945887,359.0945879,0.0
C1-FLU,1589.914266,5.355768936,4339.431385,6725.104725,3.972104135,159.3810767,584.5246199,7.701927245
C1-PYR,275.6930547,5.771206096,473.9388512,1521.332047,12.32806168,4.428312109,17.20337389,0.596754307
C2-BaP,80.74903693,3.981252535,86.40412695,279.1806506,0.167272638,0.0,0.0,0.0
C2-DBTP,2030.276082,9.918859397,4636.229887,12508.22187,39.69051597,59.55570332,249.2791436,0.0
