Analyte,1B-10,1B-20,1B-30,2B-10,2B-20,2B-30,3B-10,3B-20,3B-30
Acenapthene,471174.960,24.384,27.154,321794.651,3.924,7.589,10196.585,12.294,17.294
Acenapthylene,130186.076,303.237,300.335,187269.074,129.758,59.752,365971.478,241.000,149.000
Anthracene,4121.629,10.680,25.002,2749.179,9.917,15.918,2756.161,11.000,29.000
Benz[a]anthracene,6518.059,151.884,17.053,4135.918,167.222,21.760,4478.104,212.537,16.537
Benzo[a]pyrene,8739.115,353.959,5.701,6294.910,257.787,4.818,10447.343,361.000,7.000
Benzo[b]fluoranthene,6577.119,257.764,6.467,4690.283,239.524,7.516,7112.928,293.000,7.000
"Benzo[g,h,i]perylene",13370.581,129.194,2.805,8260.899,118.704,0.342,8637.473,142.000,5.000
Benzo[k]fluoranthene,5277.098,354.843,5.979,4219.295,236.111,6.455,4765.704,346.000,8.000
Chrysene,6394.013,285.233,38.356,4361.857,313.520,32.861,4540.804,380.000,32.000
"Dibenzo[a,h]anthracene",475.443,32.282,0.601,500.748,25.026,0.256,136.645,30.630,0.999
Fluoranthene,20220.094,593.849,249.314,17084.099,378.406,133.137,12440.431,294.050,236.050
Fluorene,60166.529,105.316,155.987,71812.134,15.795,48.167,56784.742,52.000,125.810
"Indeno[1,2,3-c,d]pyrene",7018.486,114.247,2.254,4001.193,114.340,0.000,5447.556,150.000,4.000
Naphthalene,16167332.455,1841.390,902.517,4317919.229,0.000,0.000,96756410.293,1450.000,723.000
Phenanthrene,73854.326,146.832,194.689,60440.451,14.829,46.375,60688.357,69.000,204.000
Pyrene,15285.059,615.232,223.983,12508.643,370.753,104.965,10713.578,308.000,190.000
"1,7-Dimethylphenanthrene",37.140,0.183,0.406,30.543,0.376,1.433,17.882,0.000,0.000
"1,8-Dimethylphenanthrene",10.170,0.059,0.166,8.878,0.050,0.151,2.040,0.000,0.000
1-Methylnaphthalene,107072.955,32.158,20.289,85020.681,0.000,7.094,95048.976,0.906,4.320
1-Methylphenanthrene,65.088,0.000,0.000,47.337,0.606,2.618,35.846,0.524,0.234
"2,6-Dimethylphenanthrene",14.383,0.205,0.219,14.698,0.525,0.705,7.543,0.481,0.000
2-Methylnaphthalene,339019.051,54.687,25.942,283936.521,0.000,4.199,310109.003,0.000,5.798
2-Methylphenanthrene,1081.666,22.814,28.903,861.803,28.810,53.299,705.182,20.237,21.572
"3,6-Dimethylphenanthrene",3.030,0.100,0.198,5.470,0.673,0.000,1.214,0.000,0.050
3-Methylphenanthrene,885.793,16.166,1.934,665.581,17.360,14.543,599.503,13.264,2.464
9/4-Methylphenanthrene,179.202,3.969,0.740,119.595,3.152,4.320,74.475,0.328,0.000
C1 Chrysene,19.489,2.145,0.127,20.092,1.425,0.380,10.653,0.702,0.000
C2 Chrysene,15.532,0.599,0.000,17.348,0.000,0.000,4.550,0.000,0.000
C2 Naphthalene,15063.611,5.902,7.079,10845.391,0.129,9.328,12249.217,1.610,3.839
C2 Phenanthrene,49.937,0.773,0.938,51.062,0.423,0.425,27.586,0.000,0.000
C3 Chrysene,3.514,0.026,0.000,6.081,0.000,1.192,1.204,0.000,0.000
C3 Naphthalene,12076.342,38.497,62.612,8950.449,84.974,180.243,10716.116,65.997,69.672
C3 Phenanthrene,37.172,4.031,7.749,33.378,3.079,14.875,28.040,0.000,0.000
C4 Chrysene,0.000,0.000,0.000,0.115,0.000,0.422,0.000,0.000,0.000
C4 Naphthalene (Butyl),840.202,6.454,13.810,847.831,18.873,39.355,1511.004,13.148,12.096
C4 Phenanthrene,7.921,0.976,2.635,3.943,0.000,31.566,5.131,0.000,2.278
Retene,23.283,0.000,0.000,0.000,0.000,0.003,0.000,0.000,9.290
C1 Benzo[a]pyrene,330.986,57.980,3.235,492.456,67.384,0.333,319.029,15.005,0.000
C1 Dibenzothiophene,3350.247,17.671,14.933,4239.717,276.838,26.162,7970.177,16.060,2.690
C1 Fluorene,3675.778,1.475,7.231,3792.365,9.249,6.662,4621.588,0.000,0.000
C1 Pyrene,3326.437,84.890,33.400,4080.112,128.270,39.612,3463.838,22.857,16.215
C2 Benzo[a]pyrene,52.754,7.637,3.739,93.261,14.348,0.000,33.544,0.000,0.000
C2 Dibenzothiophene,388.160,11.760,11.426,469.251,96.894,17.975,820.119,0.000,0.000
C2 Fluorene,187.520,1.875,9.093,198.814,18.441,27.982,198.719,0.000,0.000
C2 Pyrene,54.408,2.544,0.371,70.431,2.380,0.000,69.475,0.000,0.000
C3 Dibenzothiophene,62.557,4.544,7.712,62.135,17.268,6.617,100.441,0.000,0.000
C3 Fluorene,126.713,13.558,33.197,156.116,67.971,56.253,169.958,5.618,27.900
C3 Pyrene,89.117,7.894,4.609,116.360,11.930,0.000,102.747,0.000,0.000
C4 Dibenzothiophene,53.388,6.686,7.306,33.016,6.174,6.826,108.728,0.000,0.000
C4 Fluorene,27.768,10.142,23.044,27.065,38.089,33.859,40.370,0.000,3.143
C4 Pyrene,31.809,7.286,10.163,47.469,0.000,0.000,79.056,0.000,0.000
Dibenzothiophene,20846.976,15.715,35.673,16584.167,0.648,9.340,32947.510,0.000,7.640
"1,2-BNT",32.699,6.452,1.000,30.909,3.578,0.876,20.863,2.708,0.344
"2,3-BNT",109.615,6.412,1.190,101.002,3.731,0.600,70.051,4.205,0.264
Acridine ,6054.134,7.191,9.994,6526.482,12.584,40.399,10354.807,31.645,33.591
Carbazole ,24316.497,88.178,107.914,31010.672,20.114,54.416,31387.885,22.144,23.367
C2-Carbazole ,1373.387,55.669,41.661,1087.146,191.297,129.214,1248.064,76.718,45.129
C1-Carbazole ,1391.651,360.906,553.430,1722.107,1653.729,2563.511,1937.789,1781.548,1205.368
{c}-Benzocarbazole ,1356.687,34.729,24.248,1302.996,81.609,52.661,1195.051,74.603,21.644
11H-Benzocarbazole ,2173.090,27.153,21.284,1981.441,136.028,72.328,1862.902,95.717,32.388
C3-Carbazole ,3.545,3.566,5.067,3.636,5.417,7.705,6.927,4.013,3.514
TSS,1.100,40.000,0.300,0.200,32.200,0.000,2.800,32.800,0.000
NH3-T,6808.500,134.500,119.500,7729.990,29.590,46.690,7709.990,104.990,81.690
P-T,5.960,6.070,0.000,4.930,5.450,0.000,19.197,22.097,0.027
DOC,783.450,52.550,35.550,795.000,83.000,51.600,801.960,67.660,34.460
TS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TOC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aluminium,4.995,4.995,4.995,0.495,3.075,0.495,0.495,2.275,0.845
Arsenic,0.100,0.100,0.100,0.027,0.036,0.010,0.026,0.041,0.010
Calcium,49.950,49.950,49.950,5.650,8.250,11.450,5.750,6.650,10.950
Copper,0.500,0.500,0.500,0.050,0.050,0.050,0.050,0.050,0.050
Iron,9.990,9.990,9.990,1.090,2.890,0.990,1.890,2.690,0.990
Magnesium,5.000,5.300,5.700,1.065,4.365,5.715,0.825,3.385,4.795
Potassium,49.950,49.950,49.950,4.950,6.350,7.350,4.950,6.450,7.150
Sodium,207.950,2569.950,2589.950,182.950,2609.950,2709.950,156.922,2859.922,2949.922
Sulfur,499.500,499.500,499.500,218.500,236.500,327.500,224.500,256.500,314.500
Zinc,2.997,2.997,2.997,0.297,0.297,0.297,0.297,0.297,0.297
COD,4750.000,589.000,324.000,5150.000,390.000,310.000,5270.000,360.000,190.000
