Analyte,1C-10,1C-20,1C-30,2C-10,2C-20,2C-30,3C-10,3C-20,3C-30
ACE,28429.8116,0.647,0.019,2119.245828,0.297,0.221,11518.15442,0.198,0.227
ACY,51036.90822,26.331,40.919,287645.4283,25.193,31.713,248850.2653,51.533,43.596
ANT,32719.34639,7.521,7.533,6158.082892,7.713,9.101,25570.38556,6.645,4.69
BaA,761.6656188,0.923,18.299,345.1605229,0.814,26.812,697.9777395,1.408,14.987
BaP,610.3134257,51.04,20.082,282.4257791,68.434,24.952,597.1224487,73.184,17.15
BbF,586.3487767,14.264,8.745,210.8490006,18.011,10.813,443.2187667,20.65,6.568
BghiP,308.8424068,47.466,11.705,141.9890462,56.513,12.309,398.8594918,64.91,8.992
BkF,387.5284898,19.966,17.473,258.8009933,26.032,24.722,582.2902423,27.409,16.618
CHR,707.4358988,6.719,26.686,371.3337617,8.175,37.241,795.7873851,9.059,22.776
DBahA,27.04549966,3.635,2.187,127.389132,6.612,1.808,146.5635622,7.295,1.172
FLT,21735.4603,24.127,323.15,4572.237308,25.813,83.142,15556.64016,36.7,153.268
FLU,186034.5805,0.0,0.0,107523.9055,0.0,3.832,192861.2239,2.631,0.626
IcdP,154.6840873,51.548,13.829,77.55314437,57.659,14.879,199.9460648,70.405,10.868
NAP,29098914.32,0.939,143.171,14488328.53,9.384,21.345,16943519.54,0.0,0.0
PHN,59507.86313,0.0,0.0,32648.32673,0.0,27.591,35390.68611,0.0,2.431
PYR,4888.327176,14.469,131.572,3014.706107,15.028,173.929,4741.311393,21.11,109.15
"1,7-MPHN",12.07937832,2.130135767,0.39378886,2.784821293,0.042,0.241894614,12.28951568,0.050719863,0.09702502
"1,8-MPHN",1.310062249,0.434858298,0.020938566,0.730695093,0.023,0.04752548,4.759260229,0.009,0.015588637
1-MNAP,83545.92635,0.112,1.03048423,53073.61328,0.91,0.939,65886.75094,4.568,4.623
1-MPHN,328.2486785,3.712807324,0.505,180.2257786,0.278,0.422133233,354.5611934,0.35853832,0.21460835
