Analyte,1B00,1B10,1B20,1B30,1B11,2B00,2B10,2B20,2B30,2B21,3B00,3B10,3B20,3B30,3B31
Acenapthene,2,471176.96,26.384,29.154,124358.154,3.361,321798.012,7.285,10.95,12.211,0.706,10197.291,13,18,15
Acenapthylene,26,130212.076,329.237,326.335,716236.72,55.248,187324.322,185.006,115,211.205,14,365985.478,255,163,133
Anthracene,0,4121.629,10.68,25.002,2526.677,2.082,2751.261,11.999,18,8.258,0,2756.161,11,29,27.36
Benz[a]anthracene,0.253,6518.312,152.137,17.306,4942.076,0.24,4136.158,167.462,22,238.553,0.463,4478.567,213,17,16
Benzo[a]pyrene,0,8739.115,353.959,5.701,9860.317,1.182,6296.092,258.969,6,527.258,0,10447.343,361,7,6
Benzo[b]fluoranthene,0,6577.119,257.764,6.467,5827.015,0.634,4690.917,240.158,8.15,581.042,0,7112.928,293,7,7
"Benzo[g,h,i]perylene",0,13370.581,129.194,2.805,10563.02,0.658,8261.557,119.362,1,627.53,0,8637.473,142,5,2
Benzo[k]fluoranthene,0,5277.098,354.843,5.979,6020.113,0.545,4219.84,236.656,7,444.562,0,4765.704,346,8,8
Chrysene,2,6396.013,287.233,40.356,4453.997,2.139,4363.996,315.659,35,364.196,2,4542.804,382,34,32.56
"Dibenzo[a,h]anthracene",0,475.443,32.282,0.601,468.627,0,500.748,25.026,0.256,70.542,0,136.645,30.63,0.999,0.217
Fluoranthene,0.575,20220.669,594.424,249.889,16200.672,3.863,17087.962,382.269,137,370.542,1.95,12442.381,296,238,233
Fluorene,8,60174.529,113.316,163.987,59405.816,27.833,71839.967,43.628,76,44.113,4,56788.742,56,129.81,117
"Indeno[1,2,3-c,d]pyrene",0,7018.486,114.247,2.254,5217.181,1.282,4002.475,115.622,1,198.081,0,5447.556,150,4,1
Naphthalene,880,16168212.46,2721.39,1782.517,18625601.89,1508.326,4319427.555,382.269,524,3502.993,247,96756657.29,1697,970,524
Phenanthrene,8,73862.326,154.832,202.689,63748.035,79.335,60519.786,94.164,125.71,79.34,10,60698.357,79,214,188
Pyrene,1,15286.059,616.232,224.983,12254.503,3.035,12511.678,373.788,108,401.821,2,10715.578,310,192,186
"1,7-Dimethylphenanthrene",0.373,37.512,0.555,0.778,31.094,0.238,30.781,0.614,1.671,0.804,0.344,18.226,0.159,0.233,0.485
"1,8-Dimethylphenanthrene",0.104,10.274,0.164,0.27,4.194,0.04,8.917,0.09,0.19,0.184,0.077,2.117,0,0,0.044
1-Methylnaphthalene,6.952,107079.907,39.111,27.242,97416.296,6.086,85026.768,3.534,13.18,25.668,1.817,95050.794,2.724,6.138,9.002
1-Methylphenanthrene,0.236,65.324,0.096,0.097,55.691,0.206,47.543,0.812,2.824,1.055,0.743,36.589,1.267,0.977,1.465
"2,6-Dimethylphenanthrene",0.146,14.529,0.35,0.365,14.132,0.109,14.807,0.634,0.814,0.369,0.21,7.753,0.691,0.156,0.603
2-Methylnaphthalene,14.479,339033.529,69.166,40.421,305745.767,15.556,283952.077,5.179,19.755,44.701,3.631,310112.633,3.574,9.429,13.743
2-Methylphenanthrene,0.217,1081.884,23.032,29.121,999.869,0.574,862.377,29.384,53.873,27.532,1.452,706.634,21.688,23.024,31.097
"3,6-Dimethylphenanthrene",0.238,3.268,0.338,0.436,3.032,0.092,5.562,0.764,0.016,0.436,0.394,1.608,0.197,0.444,0
3-Methylphenanthrene,0.233,886.027,16.399,2.167,882.427,0.503,666.084,17.863,15.046,19.834,1.22,600.723,14.483,3.684,6.385
9/4-Methylphenanthrene,0.512,179.714,4.481,1.251,122.045,0.417,120.013,3.569,4.737,5.6,1.743,76.218,2.071,1.457,2.435
C1 Chrysene,0.344,19.833,2.489,0.471,17.115,0.19,20.282,1.615,0.57,7.211,0.148,10.801,0.85,0,0
